scenario,tasks,seed,algorithm,fitness,convergence_iteration,runtime_s,evaluation_budget
3,16,202614,DE,0.3024849008761084,20,0.1359441999811679,416
3,16,202615,IPSO,0.2861834309856012,17,0.1194079000269994,416
3,16,202615,PSO,0.2912719491575663,25,0.109306399943307,416
3,16,202615,GA,0.2643604397077682,25,0.1284621000522747,416
3,16,202615,ACO,0.2626750596242987,19,0.312169500044547,416
3,16,202615,DE,0.2919544911065621,11,0.1272277999669313,416
3,16,202616,IPSO,0.2734922505841514,25,0.0905780000612139,416
3,16,202616,PSO,0.2974702678307312,25,0.0993688999442383,416
3,16,202616,GA,0.2774358716880318,25,0.1288173999637365,416
3,16,202616,ACO,0.2542917934405193,12,0.3337065000087023,416
3,16,202616,DE,0.3052989689595298,15,0.1342244999250397,416
3,16,202617,IPSO,0.2923729330080725,17,0.1163701999466866,416
3,16,202617,PSO,0.2711547637005956,25,0.1144570000469684,416
3,16,202617,GA,0.265022221256653,21,0.1208588000154122,416
3,16,202617,ACO,0.2762198344810015,18,0.3392880000174045,416
3,16,202617,DE,0.3012613755738396,25,0.1801189999096095,416
3,16,202618,IPSO,0.2912153845444116,14,0.125112000037916,416
3,16,202618,PSO,0.2787037557317878,25,0.111400399939157,416
3,16,202618,GA,0.2748154900399253,25,0.1123224999755621,416
3,16,202618,ACO,0.2810938158824034,19,0.3447484000353142,416
3,16,202618,DE,0.3049677727450524,25,0.1234579000156372,416
3,16,202619,IPSO,0.2910606984347804,25,0.1157389000291004,416
3,16,202619,PSO,0.2971557106565475,25,0.0834661000408232,416
3,16,202619,GA,0.2774037608021001,25,0.1562247000401839,416
3,16,202619,ACO,0.2863832487799326,25,0.3035747000249102,416
3,16,202619,DE,0.2822770946569397,21,0.1208690999774262,416
3,16,202620,IPSO,0.261920720419747,25,0.102293899981305,416
3,16,202620,PSO,0.2904989797318867,25,0.0942282000323757,416
3,16,202620,GA,0.2813125842702438,25,0.1429766999790445,416
3,16,202620,ACO,0.2775509496149298,19,0.3198716000188142,416
3,16,202620,DE,0.3014518685624744,24,0.1468342000152915,416
3,16,202621,IPSO,0.2803972889915473,25,0.1134469000389799,416
3,16,202621,PSO,0.2727434325041256,17,0.1132724999915808,416
3,16,202621,GA,0.2744718759884925,18,0.1275012999540195,416
3,16,202621,ACO,0.2754061012866502,24,0.3255662999581545,416
3,16,202621,DE,0.2958371984337871,25,0.1363929000217467,416
3,16,202622,IPSO,0.3079557018813879,12,0.1192995000164955,416
3,16,202622,PSO,0.287641584352988,22,0.1163966000312939,416
3,16,202622,GA,0.2760002226122815,25,0.1305616999743506,416
3,16,202622,ACO,0.2669189775960843,19,0.3389348000055179,416
3,16,202622,DE,0.2942947454200204,25,0.1299105000216514,416
3,16,202623,IPSO,0.2904340284006891,24,0.1092346999794244,416
3,16,202623,PSO,0.289799952479517,19,0.1024030999979004,416
3,16,202623,GA,0.2898248432064631,20,0.1306211000774055,416
3,16,202623,ACO,0.2748760025515827,15,0.3245622001122683,416
3,16,202623,DE,0.2857819233589305,17,0.1380851999856531,416
3,16,202624,IPSO,0.302754473551342,25,0.1065836000489071,416
3,16,202624,PSO,0.3094174950975656,25,0.1174917999887839,416
3,16,202624,GA,0.2794098350673319,20,0.1302355000516399,416
3,16,202624,ACO,0.2678643440590339,18,0.3308505999157205,416
3,16,202624,DE,0.2899994864928631,25,0.1392321999883279,416
3,16,202625,IPSO,0.277317740941487,11,0.1072951999958604,416
3,16,202625,PSO,0.297153646549039,17,0.1149554000003263,416
